,height,mid_height,concrete_area,reinf_steel_area,conf_steel_area,strain,concrete_stress,reinf_steel_stress,conf_steel_stress,concrete_force,reinf_steel_force,conf_steel_force,total_force,total_moment
0,0.0005,0.00025,0.00015,0.0,0.0,0.0034941960358066547,28333333.333333332,0.0,0,4249.999999999999,0.0,0,4249.999999999999,636.4374999999999
1,0.001,0.00075,0.00015,0.0,0.0,0.003482588107419963,28333333.333333332,0.0,0,4249.999999999999,0.0,0,4249.999999999999,634.3124999999999
2,0.0015,0.00125,0.00015,0.0,0.0,0.003470980179033272,28333333.333333332,0.0,0,4249.999999999999,0.0,0,4249.999999999999,632.1874999999999
3,0.002,0.00175,0.00015,0.0,0.0,0.003459372250646581,28333333.333333332,0.0,0,4249.999999999999,0.0,0,4249.999999999999,630.0624999999999
4,0.0025,0.0022500000000000003,0.00015,0.0,0.0,0.003447764322259889,28333333.333333332,0.0,0,4249.999999999999,0.0,0,4249.999999999999,627.9374999999999
5,0.003,0.00275,0.00015,0.0,0.0,0.003436156393873198,28333333.333333332,0.0,0,4249.999999999999,0.0,0,4249.999999999999,625.8124999999999
6,0.0035,0.0032500000000000003,0.00015,0.0,0.0,0.0034245484654865065,28333333.333333332,0.0,0,4249.999999999999,0.0,0,4249.999999999999,623.6874999999999
7,0.004,0.00375,0.00015,0.0,0.0,0.0034129405370998153,28333333.333333332,0.0,0,4249.999999999999,0.0,0,4249.999999999999,621.5624999999998
8,0.0045000000000000005,0.00425,0.00015000000000000012,0.0,0.0,0.003401332608713124,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,619.4375000000005
9,0.005000000000000001,0.004750000000000001,0.00015000000000000012,0.0,0.0,0.0033897246803264326,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,617.3125000000005
10,0.0055,0.0052499999999999995,0.00015000000000000012,0.0,0.0,0.0033781167519397414,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,615.1875000000005
11,0.006,0.00575,0.00015000000000000012,0.0,0.0,0.00336650882355305,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,613.0625000000005
12,0.006500000000000001,0.00625,0.00015000000000000012,0.0,0.0,0.0033549008951663586,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,610.9375000000005
13,0.007000000000000001,0.006750000000000001,0.00015000000000000012,0.0,0.0,0.0033432929667796675,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,608.8125000000005
14,0.0075,0.0072499999999999995,0.00015000000000000012,0.0,0.0,0.003331685038392976,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,606.6875000000005
15,0.008,0.00775,0.00015000000000000012,0.0,0.0,0.0033200771100062847,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,604.5625000000005
16,0.0085,0.00825,0.00015000000000000012,0.0,0.0,0.0033084691816195936,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,602.4375000000005
17,0.009000000000000001,0.00875,0.00015000000000000012,0.0,0.0,0.003296861253232902,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,600.3125000000005
18,0.009500000000000001,0.009250000000000001,0.00015000000000000012,0.0,0.0,0.003285253324846211,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,598.1875000000005
19,0.01,0.00975,0.00015000000000000012,0.0,0.0,0.0032736453964595192,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,596.0625000000005
20,0.0105,0.01025,0.00015000000000000012,0.0,0.0,0.003262037468072828,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,593.9375000000005
21,0.011000000000000001,0.010750000000000001,0.00015000000000000012,0.0,0.0,0.003250429539686137,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,591.8125000000005
22,0.0115,0.01125,0.00015000000000000012,0.0,0.0,0.0032388216112994453,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,589.6875000000005
23,0.012,0.01175,0.00015000000000000012,0.0,0.0,0.003227213682912754,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,587.5625000000005
24,0.0125,0.01225,0.00015000000000000012,0.0,0.0,0.0032156057545260626,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,585.4375000000005
25,0.013000000000000001,0.012750000000000001,0.00015000000000000012,0.0,0.0,0.0032039978261393714,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,583.3125000000005
26,0.013500000000000002,0.013250000000000001,0.00015000000000000012,0.0,0.0,0.0031923898977526803,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,581.1875000000005
27,0.014,0.01375,0.00015000000000000012,0.0,0.0,0.0031807819693659887,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,579.0625000000005
28,0.0145,0.01425,0.00015000000000000012,0.0,0.0,0.0031691740409792975,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,576.9375000000005
29,0.015000000000000001,0.014750000000000001,0.00015000000000000012,0.0,0.0,0.003157566112592606,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,574.8125000000005
30,0.0155,0.01525,0.00015000000000000012,0.0,0.0,0.0031459581842059148,28333333.333333332,0.0,0,4250.000000000004,0.0,0,4250.000000000004,572.6875000000005
